Come in!	Qǐng jìn!	请进！
Which magazine will you read?	Nǐ kàn nǎběn zázhì?	你看哪本杂志？
Who's he?	Tā shi sheí?	他是谁？
To which class does this teacher teach Chinese?	Zhège lǎoshī jiāo nǎge bān zhōngwén?	这个老师教哪个班中文？
Whose is this?	Zhè shi sheí de?	这是谁的？
What's your name?	Nǐ jiào shénme míngzi?	你叫什么名字？
What newspaper is this?	Zhè shi shénme bào?	这是什么报？
Where is he?	Tā zài nǎr?	他在哪儿？
What's your school like?	Nǐ de xuéxiào zěnmeyàng?	你的学校怎么样？
What will you major in later?	Nǐ yǐhòu xué shénme zhuānyè?	你以后学什么专业？
How's this grammar book?	Zhèběn yǔfǎ shū zěnmeyàng?	这本语法书怎么样？
He's in his office.	Tā zài tā de bàngōngshì.	他在他的办公室。
What day of the week is it?	Jīntiān xīngqī jǐ?	今天星期几？
What year is this (19??)?	Jīnnián yījiǔjǐnián?	今年一九几年？
One month has 30 or 31 days.	Yīge yuè yǒu sānshítiān huòzhě sānshíyītiān.	一个月有三十天或者三十一天。
February has only 28 days.	Èryuè zhǐ yǒu èrshíbātiān.	二月只有二十八天。
Next year I'm going to China.	Wǒ míngnián qù zhōngguó.	我明年去中国。
What's tomorrow's date?	Míngtiān shi jǐ hào?	明天是几号？
What was yesterday's date?	Zuótiān shi jǐ hào?	昨天是几号？
I'm coming from the office.	Wǒ cóng bàngōngshì lái.	我从办公室来。
We study together at the university.	Wǒmen yìqǐ zài dàxué xuéxí.	我们一起在大学学习。
He came from China's capital, Beijing.	Tā cóng zhōngguó de shǒudū běijīng lái.	他从中国的首都北京来。
Earlier, he worked at the college.	Yǐ qián tā zài dàxué gōngzuò.	以前他在大学工作。
He teaches foreign overseas students.	Tā jiāo wàiguó liúxuéshēng.	他教外国留学生。
He's been teaching us since October.	Cóng shíyuè kāishǐ tā jiāo wǒmen.	从十月开始他教我们。
Next Monday we have no class.	Xià xīngqīyī wǒmen bú shàng kè.	下星期一我们不上课。
I'm visiting a machine factory.	Wǒ qù cānguān yíge jīqi zhìzaòchǎng.	我去参观一个机器制造厂。
I start to work.	Wǒ kāishǐ gōngzuò.	我开始工作。
He's in front.	Tā zài qiánbian.	他在前边。
You're on my side.	Nǐ zài wǒ pángbiān.	你在我旁边。
That table is between two chairs.	Nà zhāng zhuōzi zài liǎngbǎ yǐzi zhōngjiān.	那张桌子在两把椅子中间。
The newspaper on top is today's.	Shàngbian de bào shi jīntiān de.	上边的报是今天的。
The newspaper underneath is yesterday's.	Xiàbian de bào shi zuótiān de.	下边的报是昨天的。
All the desks in this classroom are new.	Zhè jiān jiàoshìli de zhuōzi dōu shi xīn de.	这间教室里的桌子都是新的。
The classrooms are downstairs and the library is upstairs.	Jiàoshì zài lóuxià, túshūguǎn zài lóushàng.	教室在楼下，图书馆在楼上。
There are a lot of tables in the classroom.	Jiàoshìli yǒu hěn duō zhuōzi.	教室里有很多桌子。
The auditorium is very big.	Lǐtáng hěn dà.	礼堂很大。
Inside the school there's a dining hall.	Xúexiaòli yǒu shítáng.	学校里有食堂。
The dormitory building is in back of the classroom building.	Sùshèlóu zài jiàoshìlóu hòubian.	宿舍楼在教室楼后边。
The classroom building is between the dormitories and the athletic field.	Jiàoshìlóu zài sùshèlóu hé cāochǎng de zhōngjiān.	教室楼在宿舍楼和操场的中间。
I eat in the dining hall.	Wǒ zài shítáng chīfàn.	我在食堂吃饭。
He's at the factory to the west.	Tā zài xībian de gōngchǎng.	他在西边的工厂。
He's at the park to the south.	Tā zài nánbian de gōngyuán.	他在南边的公园。
He's at the store to the north.	Tā zài běibian de shāngdiàn.	他在北边的商店。
What street is the store on?	Shāngdiàn zài nǎtiáo jiēshang?	商店在哪条街上？
In which school do you study?	Nǐ zài nǎge xuéxiào xuéxí?	你在哪个学校学习？
There are a lot of stores on this street.	Zhètiáo jiēshang yǒu hěn duō shāngdiàn.	这条街上有很多商店。
It's a people's commune.	Shìge rénmín gōngshè.	是个人民公社。
They're inside the store shopping.	Tāmen zài shāngdiànli mǎi dōngxī.	他们在商店里买东西。
In the park there are hills, water and trees.	Gōngyuánli yǒu shān, yǒu shuǐ, yě yǒu shù.	公园里有山，有水，也有树。
I'm going to the bookstore.	Wǒ qù shūdiàn.	我去书店。
He comes very early.	Tā lái de hěn zǎo.	他来得很早。
He gets up very early.	Tā qǐ de hěn zǎo.	他起得很早。
He reads the text very fluently (i.e. skillfully).	Tā niàn kèwén niàn de hěn shú.	他念课文念得很熟。
He writes Chinese characters very fast.	Tā xiě hànzì xiě de hěn kuài.	他写汉字写得很快。
He speaks Chinese very fluently.	Tā shuō zhōngwén shuō de hěn liúlì.	他说中文说得很流利。
He doesn't come early.	Tā lái de bù zǎo.	他来得不早。
He's extremely hardworking.	Tā fēicháng nǔlì.	他非常努力。
He pays very careful attention to grammar.	Tā fēicháng zhùyì yǔfǎ.	他非常注意语法。
He listens very carefully.	Tā hěn zhùyì de tīng.	他很注意地听。
He understands the meaning of the whole text.	Kèwén de yìsi tā dōu dǒng.	课文的意思他都懂。
He masters the grammar very well.	Tā zhǎngwò yǔfǎ zhǎngwò de hěn hǎo.	他掌握语法掌握得很好。
His responses to the teacher's questions are very correct.	Tā huídá lǎoshī de wèntí huídá de hěn duì.	他回答老师的问题回答得很对。
He makes few grammar errors.	Tā yǔfǎ cuòwu hěn shǎo.	他语法错误很少。
He does his exercises very conscientiously.	Tā zuò liànxí zuò de hěn rènzhēn.	他作练习作得很认真。
Moreover, he often speaks Chinese with his classmates.	Tā hái chángcháng gēn tóngxué yìqǐ shuō zhōngwén.	他还常常跟同学一起说中文。
I do the exercises very correctly.	Wǒ zuò liànxí zuò de hěn zhèngquè.	我作练习作得很正确。
I remember very clearly all the earlier vocabulary words.	Yǐqián de shēngcí wǒ doū jì de hěn qīngchu.	以前的生词我都记得很清楚。
How's your (spoken) Chinese?	Nǐ shuō zhōngwén shuō de zěnmeyàng?	你说中文说得怎么样？
He likes Chinese.	Tā xǐhuan zhōngwén.	他喜欢中文。
How's his pronunciation?  Pretty clear, but his tones aren't too correct.	Tā de fāyīn zěnmeyàng?  Bǐjiào qīngchu, dànshi shēngdiào bú tài zhèngquè.	他的发音怎么样？比较清楚，但是声调不太正确。
Are his exercises right?	Tā de liànxí zuò de duì bu duì?	他的练习作得对不对？
They're not all done right, but there are pretty few mistakes.	Zuò de bù dōu duì, dànshi cuòwu bǐjiào shǎo.	作得不都对，但是错误比较少。
He writes quickly.	Tā xiě kuài.	他写快。
He speaks Chinese slowly.	Tā shuō zhōngwén shuō de màn.	他说中文说得慢。
What's your life like?	Nǐ shēnghuó zěnmeyàng?	你生活怎么样？
I get up early in the morning.	Wǒ zǎoshang qǐ de hěn zǎo.	我早上起得很早。
I often watch movies or go look around.	Wǒ chángcháng kàn diànyǐng huòzhě qù cānguān.	我常常看电影或者去参观。
2:05	liǎngdiǎnwǔfēn	两点五分
2:15 (two ways)	liǎngdiǎn shíwǔfēn, liǎngdiǎn yíkè	两点十五分，两点一刻
2:30 (two ways)	liǎngdiǎn sānshifēn, liǎngdiǎnbàn	两点三十分，两点半
five of 3:00	chà wǔfēn sāndiǎn	差五分三点
What time is it? (three ways)	Xiànzài jǐdiǎn? Jǐdiǎn le? Shénme shíhou le?	现在几点？ 几点了？什么时候了？
We start class at 8 a.m.	Wǒmen shàngwǔ bādiǎn kāishǐ shàngkè.	我们上午八点开始上课。
We finish class at 11 a.m.	Wǒmen shàngwǔ shíyīdiǎn xià kè.	我们上午十一点下课。
We rest at noon.	Wǒmen zhōngwǔ xiūxi.	我们中午休息。
It has started raining.  (i.e. it's raining and I just noticed)	Xià yǔ le.	下雨了。
He's in class.	Tā shàng kè le.	他上课了。
He's resting (gone on break).	Tā xiūxi le.	他休息了。
Is it raining?  It has stopped.	Xiàyǔ mā?  Bú xià le.	下雨吗？ 不下了。
What did you do on Sunday?	Xīngqi rì nǐ zuò shénme le.	星期日你作什么了？
Today we visited an exhibition.	Jīntiān wǒmen cānguān zhǎnlǎnhuì le.	今天我们参观展览会了。
He came to see me.	Tā lái kàn wǒ.	他来看我。
What time does it start?	Jǐdiǎn kāishǐ.	几点开始？
Okay, it's 9:00 now; I'll go with you.	Hǎo, xiànzaì jiǔdiǎn le. Wǒ gēn nǐ yìqǐ qù.	好，现在九点了。我跟你一起去。
There were pretty many friends working there.	Yǒu bù shǎo péngyou zài nàr gōngzuò.	有不少朋友在那儿工作。
What's written on that projector?	Diànyǐngjīshang xiě de shi shénme?	电影机上写的是什么？
made in China	zhōngguó zhìzaò	中国制造
It's five of twelve, should we visit (the exhibition) more?	Xiànzài chà wǔfēn shíèrdiǎn, hái cānguān ma?	现在差五分十二点，还参观吗？
You have a round face.	Nǐ yǒu yìzhāng yuán liǎn.	你有一张圆脸。
People often come to see me.	Rénmen chángcháng lái kàn wǒ.	人们常常来看我。
I tell them the time.	Wǒ gàosu tāmen shíjiān.	我告诉他们时间。
We have class from 8 to 11.	Wǒmen cóng bādiǎn dào shíyīdiǎn shàngkè.	我们从八点到十一点上课。
They studied Chinese from 1970 to 1980.	Cóng yījiǔqīlíng nián dào yījiǔbālíng nián xuéxí zhōngwén.	从一九七０年到一九八０年学习中文。
He studies a specialty.	Tā xuéxí zhuānyè.	他学习专业。
He's able to read Chinese newpapers.	Tā néng kàn zhōngwén bào.	他能看中文报。
I want to go work out.	Wǒ yào qù duànliàn.	我要去锻炼。
We should study hard.	Wǒmen yīnggāi nǔlì xuéxí.	我们应该努力学习。
A year consists of spring, summer, fall and winter.	Yìnián yǒu chūntian, xiàtian, qiūtian hé dōngtian.	一年有春天，夏天，秋天和冬天。
In Beijing it's spring from March to May.	Běijīng cóng sānyuè dào wǔyuè shi chūntian.	北京从三月到五月是春天。
Spring weather in Beijing is pretty warm.	Běijīng de chūntian tiānqi bǐjiào nuǎnhuo.	北京的春天天气比较暖和。
Summer is not too hot.	Xiàtian bú taì rè.	夏天不太热。
Fall's neither cold nor hot.	Qiūtian bù lěng yě bú rè.	秋天不冷也不热。
In winter it's rarely windy.	Dōngtian hěn shǎo guā fēng.	冬天很少刮风。
Sometimes it snows.	Yǒude shíhou xià xuě.	有的时候下雪。
In Beijing you can skate but not ski.	Zài běijīng kěyi huá bīng, dànshi bù néng huá xuě.	在北京可以滑冰，但是不能滑雪。
I want to learn this year.	Jīnnián wǒ yào xué.	今年我要学。
I exercise my body.	Wǒ duànliàn shēntǐ.	我锻炼身体。
Smoking is allowed here.	Zhèli néng chōuyān.	这里能抽烟。
When you're reading new vocabulary you have to be careful about the tones.	Niàn shēngcí yào zhùyì shēngdiào.	念生词要注意声调。
You don't need to remember this vocabulary item.	Nǐ bú yòng jì zhège shēngcí.	你不用记这个生词。
Do you want to go?  I'm not thinking to.	Nǐ yào qù ma? Wǒ bù xiǎng qù.	你要去吗？我不想去。
My name is Cullen.	Wǒ jiào Cullen.	我叫 Cullen。
notebook	běnzi	本子
This book is very new.	Zhè běn shū hěn xīn.	这本书很新。
That's twenty what?	Nà shi èrshíjǐ?	那是二十几？
I'm from New York.	Wǒ shi niǔyuē rén.	我是纽约人。
Do you have classes in the afternoon too?	Nǐ xiàwǔ yě yǒu kè ma?	你下午也有课吗？
How many is that?	Nà shi duōshǎo?	那是多少？
We go to his resting room to ask questions.	Wǒmen qù tā de xiūxishì wèn wèntí.	我们去他的休息室问问题。
Prof. Wang is out.	Wáng lǎoshī chūqùle.	王老师出去了。
Today's the 5th.	Jīntiān shi wǔhào.	今天是五号。
I review new words and practice writing characters.	Wǒ fùxí shēngcí liànxí xiě hànzì.	我复习生词，练习写汉字。
Two (books) are blue.	Liǎngběn shì lán de.	两本是蓝的。
I'm going to the playground to exercise.	Wǒ qù cāochǎng duànliàn.	我去操场锻炼。
We do some exercises.	Wǒmen zuò yìxiē liànxí.	我们作一些练习。
What's this place?	Zhè shi shénme dìfang?	这是什么地方？
January 1, 1917	yījiǔyīqīnián yīyuè yīrì	一九一七年一月一日。
Is that text hard?	Nà kè kèwén nán bu nán?	那课课文难不难？
That notebook's a thick one.	Nàge běnzi shì hòu de.	那个本子是厚的。
Where is the teacher tutoring?	Lǎoshī zài nǎr fǔdǎo?	老师在哪儿辅导？
Two (pencils) are yellow.	Liǎngzhī shì huáng de.	两枝是黄的。
In the evening we review and prepare on our own.	Wǎnshàng wǒmen zìjǐ fùxí hé yùxí.	晚上我们自己复习和预习。
The bookshelf on the left is mine.	Zuǒbian de shūjià shì wǒde.	左边的书架是我的。
I only have an English newspaper.	Wǒ zhǐ yǒu yīngwén bào.	我只有英文报。
What are you studying now?	Nǐ xiànzài xué shénme?	你现在学什么？
Last month was March.	Shànggeyuè shi sānyuè.	上个月是三月。
Later I'll study French.	Yǐhòu wǒ xúe fǎwén.	以后我学法文。
He speaks to me in English.	Tā gēn wǒ shuō yīngwén.	他跟我说英文。
Sunday	xīngqīrì	星期日
Next month I'll read that book.	Wǒ xiàyuè kàn nàběn shū.	我下月看那本书。
None of the exercises are hard.	Měikè liànxí dōu bù nán.	每课练习都不难。
I review pronunciation and tones.	Wǒ fùxí fāyīn hé shēngdiào.	我复习发音和声调。
Our dormitory (room) has two beds.	Wǒmen de sùshè yǒu liǎng zhāng chuáng.	我们的宿舍有两张床。
That thick book is my friend's.	Nà běn hòu shū shì wǒ péngyou de.	那本厚书是我朋友的。
That pencil is red.	Nàzhī qiānbǐ shì hóng de.	那枝铅笔是红的。
We're all students.	Wǒmen dōu shi xuéshēng.	我们都是学生。
He'll be back in the evening.	Tā wǎnshang huílai.	他晚上回来.
Right, I also have classes in the afternoon.	Duìle, xiàwǔ yě yǒu kè.	对了，下午也有课。
I'm studying chemistry now.	Wǒ xiànzài xué huàxué.	我现在学化学。
I'm to the east of the school	Wǒ zài xuéxiaò de dōngbian.	我在学校的东边。
Altogether we have 200 books.	Wǒmen yígòng yǒu èrbǎi běn shū.	我们一共有二百本书。
I have two classes in the morning.	Shàngwǔ wǒ yǒu liǎng jié kè.	上午我有两节课。
Every morning he reads the text loudly.	Měitiān zǎoshang tā dōu dàshēng de niàn kèwén.	每天早上他都大声地念课文。
The Chinese book belongs to the two of us.	Zhōngwén shū shì wǒmen liǎngge rén de.	中文书是我们两个人的。
I have three classes a day.	Wǒ měitiān yǒu sān jié kè.	我每天有三节课。
How many books is this?	Zhè shi jǐběn shū?	这是几本书？
All the books on this bookshelf are Chinese.	Zhège shūjiàshang de shū dōu shi zhōngwén de.	这个书架上的书都是中文的。
six pens	liù zhī gāngbǐ	六枝钢笔
He's in back.	Tā zài hòubian.	他在后边。
My classroom is inside this building.	Wǒ de jiàoshì zài zhèzuò lóuli.	我的教室在这座楼里。
Last year was 1976.	Qùnián shi yījiǔqīliùnián.	去年是一九七六年。
How many is that (i.e. 10, 20, 30, etc.)?	Nà shi jǐshí?	那是几十？
He studies the method extremely carefully.	Tā feīcháng zhùyì xuéxí fāngfǎ.	他非常注意学习方法。
Is this a good pencil?	Zhè zhī qiānbǐ hǎo ma?	这枝铅笔好吗？
He studies English.	Tā xuéxí yīngwén.	他学习英文。
He speaks Chinese very fluently.	Tā shuō zhōngwén shuō de hěn liúlì.	他说中文说得很流利。
This is the auditorium.	Zhè shi lǐtáng.	这是礼堂。
He explains the text and the new words.	Tā jiǎng kèwén hé shēngcí.	他讲课文和生词。
He's going to the store to buy some things.	Tā qù shāngdiàn mǎi dōngxi.	他去商店买东西。
Do you have classes in the morning?	Shàngwǔ nǐ yǒu kè ma?	上午你有课吗？
He's tutoring in the classroom.	Tā zài jiàoshì fǔdǎo	他在教室辅导。
I'm going to the playground to play basketball.	Wǒ qù cāochǎng dǎ qiú.	我去操场打球。
We all write Chinese characters very neatly.	Wǒmen xiě hànzì dōu xiě de hěn zhěngqí.	我们写汉字都写得很整齐。
I'll go tomorrow.	Wǒ míngtiān qù.	我明天去。
I watch movies in the auditorium.	Wǒ zài lǐtáng kàn diànyǐng.	我在礼堂看电影。
I have two hands, one long and one short.	Wǒ yǒu liǎng zhī shǒu, yìzhī cháng, yìzhī duǎn.	我有两只手，一只长，一只短。
grammar	yǔfǎ	语法
Our classroom is number 456.	Wǒmen de jiàoshì shi sìbǎiwǔshíliù hào.	我们的教室是四百五十六号。
How many illustrated papers does he have?	Tā yǒu jǐzhāng huàbào?	他有几张画报？
I prepare new lessons. (i.e. study them)	Wǒ yùxí xīn kè.	我预习新课。
He learns every text by heart (completely).	Měi kè kèwén tā doū bèi de hěn shú.	每课课文他都背得很熟。
We listen carefully.	Wǒmen zhùyì tīng.	我们注意听。
The one on the right is my classmate's.	Yòubian de shì wǒ tóngxuéde.	右边的是我同学的。
I also don't go to bed too late in the evening.	Wǒ wǎnshang shuì de yě bú tài wǎn.	我晚上睡得也不太晚。
I train on the athletic field.	Wǒ zài cāochǎng duànliàn.	我在操场锻炼。
2:00	liǎngdiǎn zhōng	两点钟
You (all) and they all have pens.	Nǐmen hé tāmen dōu yǒu gāngbǐ.	你们和他们都有钢笔。
We're leaving from the school.	Wǒmen cóng xuéxiào qù.	我们从学校去。
In addition, it has three bookshelves.	Hái yǒu sān ge shūjià.	还有三个书架。
We have books, notebooks and paper.	Wǒmén yǒu shū, yǒu běnzi, yě yǒu zhǐ.	我们有书，有本子，也有纸。
Chinese industry	zhōngguó gōngyè	中国工业
I'm to the west of the school.	Wǒ zài xuéxiào de xībiàn.	我在学校的西边。
The library's in the classroom building.	Túshūguǎn zài jiàoshìlóuli.	图书馆在教室楼里。
Does he wake up early?	Tā qǐ de zǎo bú zǎo?	他起得早不早？
How did you answer?  Very correctly.	Nǐ huídá de zěnmeyàng? Wǒ huídá de hěn zhèngquè.	你回答得怎么样？我回答得很正确。
Short texts are easy.	Duǎn kèwén róngyi.	短课文容易。
two books	liáng běn shū	两本书
I prepare the new lesson's vocabulary. (i.e. study it)	Wǒ yùxí xīn kè de shēngcí.	我预习新课的生词。
I teach English and French.	Wǒ jiāo yīngwén hé fǎwén.	我教英文和法文。
I don't know French.	Wǒ bú huì fǎwén.	我不会法文。
My school is outside the city.	Wǒ de xuéxiaò zài chéngwài.	我的学校在城外。
What's today's date?	Jīntiān jǐyuè jǐhào?	今天几月几号？
That Chinese book is thick.	Nà běn zhōngwén shū hòu.	那本中文书厚。
Tuesday	xīngqīèr	星期二
Where are you from?	Nǐ shi nǎguó rén?	你是哪国人?
Who teaches you Chinese?	Sheí jiāo nǐmen zhōngwén?	谁教你们中文？
He asks the teacher questions.	Tā wèn lǎoshī wèntí.	他问老师问题。
We answer questions.	Wǒmen huídá wèntí.	我们回答问题。
Anything else?	Hái yǒu shénme shì ma?	还有什么事吗？
We always study a text a day.	Wǒmen měitiān dōu xuéxí yíkè kèwén.	我们每天都学习一课课文。
He asks questions.  We answer.	Tā wèn wèntí.  Wǒmen huídá.	他问问题。我们回答。
What's your number? (phone)	Nǐ de diànhuà hàomǎr shi duōshaǒ?	你的电话号码儿是多少？
Where are you coming from?	Nǐ cóng nǎr lái?	你从哪儿来？
Where are you going now?	Nǐ xiànzài qù nǎr?	你现在去哪儿？
My notebook is small.	Wǒ de běnzi xiǎo.	我的本子小。
What are you calling about?	Nǐ yǒu shénme shìqing?	你有什么事情？
That's a pencil.	Nà shi qiānbǐ.	那是铅笔。
We do exercises every day.	Wǒmen měitiān dōu zuò liànxí.	我们每天都作练习。
This notebook is very big.	Zhě ge běnzi hěn dà.	这个本子很大。
Do you have class every day?	Nǐ měitiān yǒu kè ma?	你每天有课吗？
He writes Chinese characters very clearly.	Tā xiě hànzì xiě de hěn qīngchu.	他写汉字写得很清楚。
How many is this?	Zhè shi jǐ?	这是几？
I review old lessons.	Wǒ fùxí jiù kè.	我复习旧课。
What's the meaning?	Yìsi shi shénme?	意思是什么？
newspaper	bào	报
I'm going to the bookstore.	Wǒ qù shūdiàn.	我去书店。
He teaches Chinese.	Tā jiāo zhōngwén.	他教中文。
I still have a couple of questions.	Wǒ hái yǒu liǎngge wèntí.	我还有两个问题。
Does every student have a notebook?	Měige xuésheng dōu yǒu běnzi ma?	每个学生都有本子吗？
three newspapers	sān zhāng bào	三张报
What do you review in the morning?	Nǐ shàngwǔ fùxí shénme?	你上午复习什么？
They read the text out loud.	Tāmen niàn kèwén.	他们念课文。
Have a seat!	Qǐng zuò	请坐！
He bought a newspaper.	Tā mǎile yì zhāng bào.	他买了一张报。
What are you going to do after class?	Nǐ xiàle kè gàn shénme?	你下了课干什么？
Did you do your exercises?	Nǐ zuòle liànxí méiyou?	你作了练习没有？
Did you see the movie yesterday?	Nǐ zuótiān kànle diànyǐng méiyou?	你昨天看了电影没有？
Did you (all) translate it? He did. I didn't.	Nǐmen fānyile ma? Tā fānyile, wǒ méi fānyi.	你们翻译了吗？他翻译了，我没翻译。
They're both workers.	Tāmen dōu shi gōngrén.	他们都是工人。
His wife's factory is outside the city.	Tā aìren de gōngchǎng zài chéngwài.	他爱人的工厂在城外。
They went into the city together.	Tāmen yìqǐ jìn chéng le.	他们一起进城了。
First he went to see an exhibition.	Tā xiān qù cānguānle yíge zhǎnlǎnhuì.	他先去参观了一个展览会。
After he saw the exhibition he went shopping.	Kànle zhǎnlǎnhuì, yòu qù mǎi dōngxi.	看了展览会，又去买东西。
He bought a radio.	Tā mǎile yíjià shōuyīnjī.	他买了一架收音机。
He bought three pounds (half kilos) of sugar.	Tā mǎile sān jīn táng.	他买了三斤糖。
He bought two soaps.	Tā mǎile liǎngkuài féizào.	他买了两块肥皂。
He bought a little of some other stuff.	Tā mǎile yìdiǎnr biéde dōngxi.	他买了一点儿别的东西。
We discussed two questions.	Wǒmen tǎolùnle liǎngge wèntí.	我们讨论了两个问题。
Yesterday I read the Peking Review.	Zuótiān wǒ kànle běijīng zhōubào.	昨天我看了北京周报。
I didn't go to the foreign language bookstore.	Wǒ méiyou qù wàiwén shūdiàn.	我没有去外文书店。
I write characters very neatly.	Wǒ xiě hànzì xiě de hěn zhěngqí.	我写汉字写得很整齐。
Has he mastered the grammar well?	Tā yǔfǎ zhǎngwò de hǎo ma?	他语法掌握得好吗？
After class we're going to look around.	Wǒmen xiàle kè qù cānguān.	我们下了课去参观。
At dinnertime I was sitting next to him.	Chī wǎnfàn de shíhou wǒ zuò zài tā de pángbian.	吃晚饭的时候，我坐在他的旁边。
He told me there was a movie in the auditorium at 8:30.	Tā gàosu wǒ bādiǎnbàn lǐtáng yǒu diànyǐng.	他告诉我八点半礼堂有电影。
At 8 we went right to see the movie.	Bādiǎn wǒmen jiù qù kàn diànyǐng.	八点我们就去看电影。
The content of the movie was interesting.	Diànyíng de nèiróng hěn yǒuyìsi.	电影的内容很有意思。
When we're done eating I'll come help you.	Chīle fàn, wǒ lái bāngzhù nǐ.	吃了饭，我来帮助。
I'll do my exercises right after reviewing the text.	Wǒ fùxíle kèwén, jiù zuò liànxí.	我复习了课文，就作练习。
After you come, we'll go together to look around.	Nǐ lái le, wǒmen yìqǐ qù cānguān.	你来了，我们一起去参观。
I'll go into the city right after I read the book.	Wǒ kànle shū, jiù jìn chéng.	我看了书，就进城。
He explains the text to me.	Tā gěi wǒ jiǎng kèwén.	他给我讲课文。
He analyzes the grammar for us.	Tā gěi wǒmen fēnxi yǔfǎ.	他给我们分析语法。
He introduces the uses of the new vocabulary to us.	Tā gěi wǒmen jièshào shēngcí fāngfǎ.	他给我们介绍生词方法。
They study well because they work hard.	Yīnwei tāmen hěn nǔlì suǒyǐ xuéxí de hěn hǎo.	因为他们很努力所以学习得很好。
We all hear him clearly because he speaks Chinese pretty slowly.	Yīnwei tā shuō zhōngwén shuō de bǐjiào màn, sǔoyǐ wǒmen doū tīng de hěn qīngchu.	因为他说中文说得比较漫，所以我们都听得很清楚。
He answers the questions fluently because he's mastered the text well.	Yīnwei tā kèwén zhǎngwò de hěn hǎo, sǔoyǐ wèntí huídá de hěn líulì.	因为他课文掌握得很好，所以问题回答得很流利。
